"","analyte","Zip","n","min","max","median","mean","sd","gmean","gsd"
"351","Sb","85135",22,0.446,4.67,0.871,1.26,1.08,1.02,1.82
"352","Sb","85192",51,0.16,9.15,0.582,0.937,1.37,0.6,2.33
"353","Sb","85286",2,0.612,0.9,0.756,0.756,0.204,0.742,1.31
"354","Sb","85501",83,0.12,4.42,0.503,0.691,0.697,0.517,2.06
"355","Sb","85502",17,0.173,1.1,0.419,0.503,0.235,0.452,1.64
"356","Sb","85539",5,0.285,0.596,0.426,0.442,0.115,0.43,1.31
"357","Sb","85705",7,0.335,5.35,0.794,1.68,1.87,1.04,2.79
"358","Sb","85706",26,0.11,8.16,0.694,1.34,1.86,0.84,2.41
"359","Sb","85711",27,0.294,1.62,0.642,0.724,0.359,0.649,1.61
"360","Sb","85712",3,0.436,0.665,0.538,0.546,0.115,0.538,1.23
"361","Sb","85713",19,0.229,2.34,0.746,0.935,0.55,0.791,1.84
"362","Sb","85714",30,0.26,2.69,0.588,0.654,0.443,0.571,1.64
"363","Sb","85716",6,0.529,2.6,1.32,1.31,0.761,1.13,1.85
"364","Sb","85718",4,0.173,0.926,0.287,0.418,0.35,0.331,2.14
"365","Sb","85719",14,0.292,1.47,0.62,0.711,0.336,0.644,1.58
"366","Sb","85745",15,0.274,2.38,0.678,0.765,0.511,0.657,1.72
"367","Sb","85746",9,0.24,1.36,0.511,0.594,0.344,0.521,1.71
"368","Sb","85748",6,0.184,0.7,0.393,0.419,0.217,0.37,1.75
"369","Sb","85749",8,0.151,0.588,0.263,0.327,0.16,0.295,1.62
"370","Sb","85750",1,0.265,0.265,0.265,0.265,NA,0.265,NA
"371","Sb","85756",11,0.122,0.819,0.451,0.464,0.215,0.411,1.74
"372","Sb","86314",4,0.218,0.318,0.283,0.275,0.0494,0.272,1.2
"373","Sb","86327",33,0.106,1.38,0.372,0.422,0.258,0.357,1.82
"374","Sb","86333",5,0.21,0.553,0.505,0.402,0.172,0.368,1.64
"375","Sb",NA,2,0.288,0.513,0.4,0.4,0.159,0.384,1.51
"376","Se","85135",22,0.552,4.07,1.6,1.92,0.915,1.73,1.62
"377","Se","85192",51,0.25,6.16,1.35,1.8,1.48,1.33,2.23
"378","Se","85286",2,1.05,3.29,2.17,2.17,1.59,1.86,2.25
"379","Se","85501",83,0.16,7.43,1.21,1.88,1.66,1.26,2.59
"380","Se","85502",17,0.26,7.42,1.6,2.14,1.86,1.52,2.42
"381","Se","85539",5,0.704,1.6,1.08,1.05,0.359,1,1.39
"382","Se","85705",7,0.22,7.32,1.6,2.31,2.44,1.43,3.08
"383","Se","85706",26,0.16,8.25,1.6,2.37,2.24,1.44,3.04
"384","Se","85711",27,0.25,6.39,1.09,1.61,1.45,1.19,2.17
"385","Se","85712",3,0.284,3,0.494,1.26,1.51,0.749,3.43
"386","Se","85713",19,0.229,11.6,1.6,2.06,2.51,1.36,2.46
"387","Se","85714",30,0.229,4.8,1.3,1.59,1.16,1.17,2.37
"388","Se","85716",6,0.181,7.38,1.92,2.75,2.84,1.35,4.49
"389","Se","85718",4,0.264,3.98,2.51,2.32,1.59,1.59,3.42
"390","Se","85719",14,0.239,3.54,1.05,1.25,1.08,0.87,2.51
"391","Se","85745",15,0.19,4.5,1.39,1.75,1.48,1.13,2.94
