"","analyte","Education_grouped","n","min","max","median","mean","sd","gmean","gsd"
"34","Be","Some College",76,0.0018,0.0993,0.0212,0.0285,0.0209,0.0196,2.7
"35","Be","Trade/Technical",23,0.0016,0.0707,0.0197,0.0264,0.0212,0.0171,2.91
"36","Cd","College Degree",97,0.0066,3.28,0.0794,0.159,0.351,0.0839,2.74
"37","Cd","High/Secondary",55,0.00528,1.55,0.0731,0.175,0.297,0.0779,3.44
"38","Cd","NA",13,0.017,1.38,0.0315,0.136,0.375,0.0409,3.06
"39","Cd","Post-Graduate Degree",30,0.011,0.264,0.0491,0.0626,0.0491,0.0498,2
"40","Cd","Primary - Junior High",32,0.012,2.64,0.0725,0.232,0.507,0.0842,3.47
"41","Cd","Some College",76,0.0061,2.51,0.0785,0.253,0.425,0.1,3.82
"42","Cd","Trade/Technical",23,0.011,0.201,0.062,0.0634,0.0477,0.047,2.3
"43","Co","College Degree",97,0.0045,5.04,0.111,0.317,0.644,0.124,3.73
"44","Co","High/Secondary",55,0.0045,7.89,0.112,0.503,1.17,0.152,4.37
"45","Co","NA",13,0.0294,0.309,0.072,0.121,0.103,0.0895,2.22
"46","Co","Post-Graduate Degree",30,0.0059,0.76,0.0655,0.12,0.145,0.0751,2.65
"47","Co","Primary - Junior High",32,0.011,2.42,0.0786,0.228,0.443,0.102,3.17
"48","Co","Some College",76,0.0059,1.41,0.121,0.234,0.304,0.13,2.92
"49","Co","Trade/Technical",23,0.0278,1.4,0.0908,0.171,0.285,0.101,2.42
"50","Cr","College Degree",97,0.011,86,0.301,1.63,9.13,0.318,3.48
"51","Cr","High/Secondary",55,0.0351,3.38,0.339,0.63,0.706,0.368,2.94
"52","Cr","NA",13,0.132,14.2,0.268,1.42,3.85,0.385,3.47
"53","Cr","Post-Graduate Degree",30,0.085,2.11,0.301,0.444,0.449,0.324,2.14
"54","Cr","Primary - Junior High",32,0.0918,13.6,0.433,1.35,2.79,0.513,3.43
"55","Cr","Some College",76,0.0555,10.6,0.3,0.749,1.6,0.335,2.95
"56","Cr","Trade/Technical",23,0.174,7.03,0.419,0.972,1.5,0.557,2.54
"57","Cu","College Degree",97,0.238,387,16.9,39.9,63.9,19.1,3.5
"58","Cu","High/Secondary",55,0.237,405,18.2,41.7,71.4,18.6,3.99
"59","Cu","NA",13,3.76,23,9.03,10.8,6.26,9.27,1.79
"60","Cu","Post-Graduate Degree",30,1.34,685,10.9,41.3,124,12.3,3.65
"61","Cu","Primary - Junior High",32,1.02,444,25.5,62.5,93.6,30.2,3.35
