"","analyte","score_bin","community","n","min","max","median","mean","sd","gmean","gsd"
"92","Cr","Medium","Tucson",121,0.0351,13.6,0.306,0.647,1.52,0.322,2.75
"93","Cr","High","Dewey-Humboldt",14,0.085,86,0.358,6.58,22.9,0.502,5.36
"94","Cr","High","Globe/Miami",44,0.011,10.6,0.43,1.26,2.07,0.483,4.24
"95","Cr","High","Hayden/Winkelman",5,0.117,0.807,0.532,0.48,0.264,0.4,2.13
"96","Cr","High","Tucson",125,0.011,52.4,0.365,1.69,6.24,0.442,3.48
"97","Cu","None","Dewey-Humboldt",28,1.22,108,8.25,13.8,20.5,7.82,2.83
"98","Cu","None","Globe/Miami",20,0.921,225,30.1,50.6,56.9,26.2,3.99
"99","Cu","None","Hayden/Winkelman",51,1.02,658,79.7,135,149,79.2,3.12
"100","Cu","None","Tucson",61,1.09,906,20.2,57.5,123,23.3,3.69
"101","Cu","Medium","Dewey-Humboldt",11,0.35,19.7,2.39,5.13,6,2.93,3.08
"102","Cu","Medium","Globe/Miami",59,3.68,2740,24.1,146,428,31.6,4.35
"103","Cu","Medium","Hayden/Winkelman",32,0.469,3160,31,197,574,36.5,6.56
"104","Cu","Medium","Tucson",121,0.237,244,19.4,28.8,33.2,17.5,3.06
"105","Cu","High","Dewey-Humboldt",14,0.238,133,19.8,25.1,34.1,8.79,6.35
"106","Cu","High","Globe/Miami",44,3.4,253,22.6,57.4,68.4,30,3.15
"107","Cu","High","Hayden/Winkelman",5,8.65,87.1,31.8,36,30.9,26.7,2.42
"108","Cu","High","Tucson",125,0.224,685,15.3,37.5,82.9,17.8,2.99
"109","Fe","None","Dewey-Humboldt",28,4.39,262,53.2,65.2,63.1,40.4,2.94
"110","Fe","None","Globe/Miami",20,10.4,1600,32.8,121,349,42.8,2.87
"111","Fe","None","Hayden/Winkelman",51,2.5,548,39,82.3,110,45.4,2.94
"112","Fe","None","Tucson",61,1.7,943,35.8,86.7,171,40.4,2.9
"113","Fe","Medium","Dewey-Humboldt",11,12.6,82.2,29.7,38.1,24,31.6,1.93
